"","larval5thinstar_proleg","larval5thinstar_proleg","larval5thinstar_proleg","larval5thinstar_proleg","larval5thinstar_forewing","larval5thinstar_forewing","larval5thinstar_forewing","larval5thinstar_forewing","embryo3hrs_embryo","Earlypupa(3-6hafterpupation)_forewing","Earlypupa(3-6hafterpupation)_forewing","Earlypupa(3-6hafterpupation)_forewing","Earlypupa(3-6hafterpupation)_forewing","Earlypupa(3-6hafterpupation)_antenna","Earlypupa(3-6hafterpupation)_antenna","Earlypupa(3-6hafterpupation)_antenna","Earlypupa(3-6hafterpupation)_T1-leg","Earlypupa(3-6hafterpupation)_T1-leg","embryo3hrs_embryo","Earlypupa(3-6hafterpupation)_T1-leg","Earlypupa(3-6hafterpupation)_T1-leg","Earlypupa(3-6hafterpupation)_eye","Earlypupa(3-6hafterpupation)_eye","Earlypupa(3-6hafterpupation)_eye","Earlypupa(3-6hafterpupation)_eye","larval5thinstar_T1-leg","larval5thinstar_T1-leg","larval5thinstar_T1-leg","larval5thinstar_T1-leg","embryo12hrs_embryo","embryo12hrs_embryo","larval5thinstar_horn","larval5thinstar_horn","larval5thinstar_horn","larval5thinstar_horn","embryo12hrs_embryo","embryo12hrs_embryo","embryo24hrs_embryo","embryo24hrs_embryo","embryo24hrs_embryo","embryo24hrs_embryo","embryo3hrs_embryo","embryo3hrs_embryo"
"abd-A",8.63865415200885,8.22520543153083,8.43264155847928,7.68281385449361,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,4.06374592774657,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,5.22206456642207,5.30668671804645,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,5.78769144970129,4.96466573973289,5.88077616820519,6.49625751637892,6.30166937169225,6.27523599482975,4.54186212402326,3.77328586262907
"Abd-B",7.54584522492897,7.5475116363952,7.35539292924213,7.57586526812366,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,4.05113677602765,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,5.5414907562524,6.03859924616995,4.07016410278636,4.21946494633367,3.77328586262907,3.77328586262907,6.4357416333232,5.95082064513574,6.49299752692398,7.12600643965507,6.76846748739551,6.97544743700238,4.83694233760396,3.77328586262907
"ac",7.23696959949031,7.13734995482553,6.94919106438815,7.50760254871901,6.99201999603756,7.0741186030257,6.90434871143907,7.23137325062304,4.94933453901151,12.2725608938692,12.1745280739335,12.4220783857528,12.1547146623362,10.8547385192623,10.5195783644294,10.9692025022695,10.7381550874367,10.8700979291936,5.23169037555734,10.9586471124558,10.7139412585245,9.91284390487117,10.3048120478569,10.0722035323012,10.2909869342795,8.75412209982914,9.02926883596339,9.09837350508518,9.41940383660853,8.68036010151553,8.39653591670401,7.45085382808433,7.41584445450104,7.46743778532946,7.23795274065689,8.76356925076558,8.73487221116047,8.11794979618731,8.808721476609,8.89316293342459,8.90659128934939,5.42629999474785,4.42719601630793
"Ada2a",7.48796241083767,7.26840057461314,7.8098427952631,7.88040400922382,7.58333409357524,7.62868913339389,7.52975995901998,8.00330870369289,8.41315798657829,8.00060153234701,7.34794246583104,8.00737235514388,7.96244119121769,7.70635176394689,8.35701139790661,7.55219223394351,9.15747058674543,8.86032565830606,8.42754816803599,9.02928986046818,8.8959226657229,8.90402978967896,9.08187781820423,8.61783912913047,8.69432708191982,9.38836228296956,9.06531443453893,8.95188900676339,8.91354805157338,8.16933654612788,7.80044027687542,7.69141421519733,7.8222986875041,7.49864443417558,7.86061992220846,7.83626195033132,7.94330625971626,8.21066527090834,7.50282488386247,7.64562391782987,7.64576049793034,8.50913319901538,8.9995738690617
"Ada2b",5.98305271333473,5.82174448206532,6.01649986416125,5.93814368508225,6.4676506902767,6.35227089081815,6.20752864446925,6.13879612951763,7.00022999672322,5.63907971040034,3.77328586262907,5.4454554477562,6.66727899715236,5.42139805169253,6.43978744853331,5.55550643141201,3.77328586262907,6.44374644120093,7.23278795974321,5.39807240301566,5.52870433610111,5.04875239934967,4.86710701849126,4.43526851260396,5.32584552786662,5.19941511352967,5.75200001345247,5.4914332811628,5.38762917771972,6.73724449764028,6.65718595105344,6.43008774460618,6.48312367141801,6.29884356513173,6.16623974294341,6.96451961844095,6.57500675348496,6.7871074003083,6.71767304459687,6.69084810347379,6.59754257803564,7.15713712076947,7.11105941509845
"Adf1",9.20313414273923,9.03341009942384,9.56699251410437,9.09192625643961,8.57044899063057,8.83917122914684,8.791905451512,8.813596060216,10.2385195379262,8.96818756142632,8.90376717311093,8.75254676908287,8.55046250745815,8.71148568167144,8.21106391266646,8.25304450829317,9.86401257020438,9.67314886345084,10.1869375893407,9.5109314608473,9.36393325699074,9.72774831429346,9.96724896103187,9.30601127516201,9.8148030772398,9.46259749843017,9.43021314938177,9.50105386426701,9.55184066448845,9.31019360127618,9.10904307306957,9.33126559872176,9.28332389237847,9.39922774641803,9.4269696558696,8.9534646638835,9.19346392947384,9.52764677755505,8.92231394104937,9.13265555752659,9.16771090054525,10.392054896021,10.5957930803997
"al",8.10017854235142,7.98556384385938,8.11267562481715,8.28087699942215,7.21079541557442,7.15406500876671,7.23268768370576,7.26913579722501,4.15266908678958,4.63433120329972,6.27716196017413,5.07253643471043,5.72908443769725,6.6074590746572,7.65883044673366,6.74151708822644,7.09874148440151,6.1781909091471,4.51863300181785,7.74982290960598,7.05659990844968,3.77328586262907,4.73813996173216,5.22247348297731,3.77328586262907,7.14781285539804,7.42551547643391,7.41190494976187,7.42112038012015,6.15881196446229,6.2915166706629,6.21470250112467,5.7035240546485,6.39368875112416,5.63137250517444,6.78681903435243,6.40549498083364,7.04037916553527,7.88988833277943,7.79664129362835,7.7828407916706,4.92978940920674,4.34746727656231
"amos",4.27659821166979,4.21591109681175,3.77328586262907,3.77328586262907,4.55202827841329,4.14110854089689,4.22137298173317,4.30068393543648,4.72120034267561,3.77328586262907,3.77328586262907,4.66223502925325,3.77328586262907,7.94465012997014,7.39286449274266,7.55185795938707,5.44605353800378,6.08209618642532,4.99526108398319,5.22237230309986,6.01371806870606,8.71000243022028,9.12160234805581,9.16394697479948,8.98295823999177,5.14958634759051,4.95980687659605,4.95554255968404,4.8520844233727,5.192270975632,5.13698746157532,3.77328586262907,4.09307592970065,4.22905199379231,3.77328586262907,5.26728198910139,5.34317512651298,5.48346756952007,6.4464772662535,6.34183214965761,6.49313411595834,4.78148950155282,4.69302889616111
"Antp",6.21590423321289,5.54382752440864,6.00514158251229,5.69738592826141,5.07173477703098,5.35011288540298,5.02220695901959,4.84882503765824,3.97912616179829,6.44395197167424,3.77328586262907,5.0947848811786,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,4.38966142938663,3.77328586262907,4.87241859653372,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,5.16041342467165,5.53423002253373,4.69908648247907,6.04610223754611,6.31205304889611,6.38068408842279,3.77328586262907,3.77328586262907,3.77328586262907,4.29642513316095,6.93903612554111,6.60299439371213,6.02425691212644,6.50089217257592,6.22162928638008,6.24454967415953,4.37334400569885,3.86121627207233
"aop",9.38214970337365,9.52372342942122,9.44967891136636,9.66200457211859,9.75669183318146,9.73350477136057,9.73328807184207,9.72986277867838,9.3977385691882,12.3151162680051,12.2477913157648,12.3411573274946,12.3661447849356,13.2941845835494,13.1854666591537,13.2849022528149,11.325602097807,11.3370935106862,9.44432329011319,11.3240208279204,11.1897365622785,11.6533704557826,11.9949094688293,11.743515696601,11.3983135059692,9.57893930362815,9.72727834319124,9.90642145212979,9.85421279336991,9.60423776119856,9.94055622961801,9.48869399745899,9.42367904833064,9.5529854261497,9.50043928402741,10.2336437721151,9.96348830785693,10.0489519563989,10.835256427749,10.7391541847797,10.8550197564836,9.49215980572751,8.95096429693454
